unique_key,path,ref,oem,description,updated_at
MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference|BS-799579,MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference,,BS-799579,AIR FILTER | Air Filter,2026-06-05T15:41:00.229783+00:00
MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference|751P22427,MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference,,751P22427,AIR FILTER (FOAM) (799579) | Alternate Replacement,2026-06-05T15:41:00.229783+00:00
MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference|BS-596250,MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference,,BS-596250,FUEL CAP | Fuel Cap,2026-06-05T15:41:00.229783+00:00
MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference|759-3336,MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference,,759-3336,SPARK PLUG         RC12YC | Spark Plug,2026-06-05T15:41:00.229783+00:00
MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference|742-0640-0637,MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference,,742-0640-0637,"20"" BLADE (POWDER BLACK) | Blade This part replaces 942-0640.",2026-06-05T15:41:00.229783+00:00
MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference|490-100-F115,MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference,,490-100-F115,"GENUINE FACTORY PARTS® 20"" High Lift Blade 942-0640 (Bow Tie) | Retail Packaged Part",2026-06-05T15:41:00.229783+00:00
MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference|748-0376E,MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference,,748-0376E,BLADE ADAPTER-W/STAR | Blade Adapter,2026-06-05T15:41:00.229783+00:00
MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference|OEM-753-0588,MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference,,OEM-753-0588,BLADE ADAPTER KIT | Retail Packaged Part,2026-06-05T15:41:00.229783+00:00
MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference|710-1044,MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference,,710-1044,SCREW 3/8-24 x 1.50 GR8 | Blade Bolt,2026-06-05T15:41:00.229783+00:00
MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference|736-0524B-1,MTD Merged Data Staging - Troy-Bilt - 11-Push Walk-Behind Mowers - 2025 Models - 11A-02BT066 TB90B (2025) - .Quick Reference,,736-0524B-1,BLADE BELL SUPPORT,2026-06-05T15:41:00.229783+00:00
